time,action,visualization
0:32:27,brush,hist-4
0:32:27,brush,hist-3
0:32:27,brush,hist-2
0:32:36,brush,hist-2
0:32:44,brush,hist-3
0:33:09,brush,hist-2
0:33:10,brush,hist-2
0:33:17,brush,hist-2
0:33:18,brush,hist-2
0:33:20,brush,hist-2
0:33:22,brush,hist-2
0:33:24,brush,hist-2
0:33:26,brush,hist-2
0:33:31,brush,hist-2
0:33:34,brush,hist-2
0:33:36,brush,hist-2
0:33:37,brush,hist-2
0:33:40,brush,hist-2
0:33:43,brush,hist-2
0:33:44,brush,hist-2
0:33:45,brush,hist-2
0:33:47,brush,hist-2
0:33:51,brush,hist-2
0:33:52,brush,hist-2
0:33:53,brush,hist-2
0:33:54,brush,hist-2
0:33:55,brush,hist-2
0:33:57,brush,hist-2
0:33:58,brush,hist-2
0:33:59,brush,hist-2
0:34:00,brush,hist-2
0:34:01,brush,hist-2
0:34:02,brush,hist-2
0:34:06,brush,hist-2
0:34:07,brush,hist-2
0:34:08,brush,hist-2
0:34:10,brush,hist-2
0:34:11,brush,hist-2
0:34:18,brush,hist-2
0:34:19,brush,hist-2
0:34:21,brush,hist-2
0:34:22,brush,hist-2
0:34:22,brush,hist-3
0:34:23,brush,hist-3
0:34:24,pan,geo-0-1
0:34:25,pan,geo-0-1
0:34:27,pan,geo-0-1
0:34:28,zoom,geo-0-1
0:34:29,zoom,geo-0-1
0:34:30,brush,hist-3
0:34:34,brush,hist-2
0:34:36,brush,hist-2
0:34:37,brush,hist-2
0:34:38,brush,hist-2
0:34:39,brush,hist-2
0:34:43,brush,hist-2
0:34:44,brush,hist-2
0:34:48,brush,hist-2
0:34:49,brush,hist-2
0:34:50,brush,hist-2
0:34:52,brush,hist-2
0:34:53,brush,hist-2
0:34:54,brush,hist-2
0:35:04,brush,hist-2
0:35:06,brush,hist-2
0:35:15,pan,geo-0-1
0:35:16,pan,geo-0-1
0:35:20,brush,hist-3
0:35:25,brush,hist-4
0:35:32,brush,hist-4
0:35:34,brush,hist-4
0:35:36,brush,hist-4
0:36:03,brush,hist-4
0:36:04,brush,hist-4
0:36:06,brush,hist-4
0:36:07,brush,hist-4
0:36:08,brush,hist-4
0:36:12,brush,hist-4
0:36:13,brush,hist-4
0:36:14,brush,hist-4
0:36:17,brush,hist-4
0:36:18,brush,hist-4
0:36:22,brush,hist-4
0:36:23,brush,hist-4
0:36:26,brush,hist-4
0:36:31,brush,hist-4
0:36:36,brush,hist-4
0:36:45,brush,hist-4
0:36:45,brush,hist-3
0:37:08,pan,geo-0-1
0:37:09,pan,geo-0-1
0:37:11,pan,geo-0-1
0:37:12,pan,geo-0-1
0:37:13,pan,geo-0-1
0:37:14,pan,geo-0-1
0:37:20,range select,geo-0-1
0:37:21,range select,geo-0-1
0:37:46,brush,hist-4
0:37:48,pan,geo-0-1
