time,action,visualization
0:27:05,pan,geo-0-1
0:27:06,pan,geo-0-1
0:27:07,pan,geo-0-1
0:27:08,pan,geo-0-1
0:27:09,pan,geo-0-1
0:27:16,pan,geo-0-1
0:27:17,pan,geo-0-1
0:27:18,pan,geo-0-1
0:27:19,pan,geo-0-1
0:27:20,pan,geo-0-1
0:27:21,pan,geo-0-1
0:27:23,pan,geo-0-1
0:27:24,pan,geo-0-1
0:27:25,pan,geo-0-1
0:27:26,pan,geo-0-1
0:27:27,pan,geo-0-1
0:27:28,pan,geo-0-1
0:27:29,pan,geo-0-1
0:27:31,pan,geo-0-1
0:27:32,pan,geo-0-1
0:27:35,pan,geo-0-1
0:27:36,zoom,geo-0-1
0:27:37,pan,geo-0-1
0:27:38,pan,geo-0-1
0:27:39,pan,geo-0-1
0:27:40,pan,geo-0-1
0:27:41,pan,geo-0-1
0:27:44,pan,geo-0-1
0:27:45,pan,geo-0-1
0:27:47,pan,geo-0-1
0:27:48,pan,geo-0-1
0:27:49,pan,geo-0-1
0:27:50,pan,geo-0-1
0:27:51,pan,geo-0-1
0:27:52,pan,geo-0-1
0:27:53,pan,geo-0-1
0:27:55,pan,geo-0-1
0:27:56,pan,geo-0-1
0:27:57,pan,geo-0-1
0:27:58,pan,geo-0-1
0:27:59,brush,bar-5
0:28:00,brush,bar-5
0:28:01,brush,bar-5
0:28:01,brush,hist-4
0:28:02,brush,hist-4
0:28:03,brush,hist-4
0:28:04,brush,hist-4
0:28:05,brush,hist-4
0:28:06,brush,hist-4
0:28:07,brush,hist-4
0:28:09,brush,hist-4
0:28:10,brush,hist-4
0:28:11,brush,hist-4
0:28:12,brush,hist-4
0:28:14,brush,hist-4
0:28:27,brush,hist-4
0:28:28,brush,hist-4
0:28:29,brush,hist-4
0:28:30,brush,hist-4
0:28:31,brush,hist-4
0:28:32,brush,hist-4
0:28:33,brush,hist-4
0:28:34,brush,hist-4
0:28:35,brush,hist-4
0:28:36,brush,hist-4
0:28:37,brush,hist-4
0:28:38,brush,hist-4
0:28:39,brush,hist-4
0:28:40,brush,hist-4
0:28:41,brush,hist-4
0:28:42,brush,hist-4
0:28:43,brush,hist-4
0:28:44,brush,hist-3
0:28:45,brush,hist-3
0:28:46,brush,hist-3
0:28:47,brush,hist-3
0:28:48,brush,hist-3
0:28:49,brush,hist-3
0:28:50,brush,hist-3
0:28:51,brush,hist-3
0:28:51,brush,hist-2
0:28:52,brush,hist-2
0:28:53,brush,hist-2
0:28:54,brush,hist-2
0:28:55,brush,hist-2
0:28:55,brush,hist-3
0:28:56,brush,hist-3
0:28:57,brush,hist-3
0:28:57,brush,hist-2
0:28:58,brush,hist-2
0:28:59,brush,hist-2
0:29:00,brush,hist-2
0:29:01,brush,hist-2
0:29:02,brush,hist-2
0:29:03,brush,hist-2
0:29:04,brush,hist-2
