time,action,visualization
0:31:49,brush,hist-3
0:31:52,brush,hist-4
0:31:54,brush,hist-4
0:31:55,brush,hist-4
0:31:56,brush,hist-4
0:31:57,brush,hist-4
0:31:58,brush,hist-4
0:31:58,brush,hist-3
0:31:59,brush,hist-3
0:32:00,brush,hist-3
0:32:01,brush,hist-3
0:32:02,brush,hist-3
0:32:03,brush,hist-3
0:32:04,brush,hist-3
0:32:06,brush,hist-3
0:32:07,brush,hist-3
0:32:08,brush,hist-2
0:32:09,brush,hist-2
0:32:10,brush,hist-2
0:32:11,brush,hist-2
0:32:12,brush,hist-2
0:32:13,brush,hist-2
0:32:34,brush,hist-2
0:32:35,brush,hist-2
0:32:36,brush,hist-2
0:32:37,brush,hist-2
0:32:38,brush,hist-2
0:32:43,brush,hist-2
0:32:52,brush,hist-2
0:32:52,brush,hist-3
0:32:53,brush,hist-3
0:32:54,brush,hist-3
0:32:54,brush,hist-4
0:32:57,brush,bar-5
0:33:22,range select,bar-5
0:33:31,range select,bar-5
0:33:47,brush,bar-5
0:33:48,brush,bar-5
0:33:53,brush,bar-5
0:33:56,brush,bar-5
0:33:57,brush,bar-5
0:33:59,brush,bar-5
0:34:05,brush,bar-5
0:34:09,brush,bar-5
0:34:11,range select,bar-5
0:34:17,range select,bar-5
0:34:18,range select,bar-5
0:35:28,range select,hist-2
0:35:46,brush,hist-4
0:35:46,brush,hist-3
0:35:46,brush,hist-2
0:35:47,brush,hist-2
0:35:51,range select,bar-5
0:35:52,range select,bar-5
0:35:56,range select,hist-2
0:36:35,range select,bar-5
0:36:36,range select,bar-5
0:36:37,range select,bar-5
0:36:48,brush,hist-4
0:36:53,range select,geo-0-1
0:36:54,range select,geo-0-1
0:36:55,range select,geo-0-1
0:36:56,range select,geo-0-1
0:37:05,pan,geo-0-1
0:37:11,pan,geo-0-1
0:37:14,pan,geo-0-1
0:37:15,pan,geo-0-1
0:37:16,pan,geo-0-1
0:37:17,pan,geo-0-1
0:37:18,pan,geo-0-1
0:37:19,pan,geo-0-1
0:37:34,brush,hist-4
0:37:35,brush,hist-4
0:37:44,brush,hist-4
0:38:02,range select,geo-0-1
0:38:03,range select,geo-0-1
0:38:04,range select,geo-0-1
0:38:57,range select,geo-0-1
0:38:58,range select,geo-0-1
0:38:59,range select,geo-0-1
0:39:19,brush,bar-5
0:39:23,range select,geo-0-1
0:39:24,range select,geo-0-1
0:39:57,range select,geo-0-1
0:39:58,range select,geo-0-1
0:39:59,range select,geo-0-1
0:40:00,range select,geo-0-1
0:40:01,range select,geo-0-1
0:40:02,range select,geo-0-1
0:40:03,range select,geo-0-1
0:40:04,range select,geo-0-1
0:40:05,range select,geo-0-1
0:40:06,range select,geo-0-1
0:40:07,range select,geo-0-1
0:40:08,range select,geo-0-1
0:40:09,range select,geo-0-1
0:40:10,range select,geo-0-1
0:40:11,range select,geo-0-1
0:40:12,range select,geo-0-1
0:40:13,range select,geo-0-1
0:40:15,range select,geo-0-1
0:40:16,range select,geo-0-1
0:40:17,range select,geo-0-1
0:40:18,range select,geo-0-1
0:40:29,brush,hist-4
0:40:30,brush,hist-4
0:40:30,brush,hist-3
0:40:31,brush,hist-3
0:40:31,brush,hist-2
0:40:32,brush,hist-2
0:40:36,range select,hist-2
0:40:39,range select,hist-2
0:40:43,range select,hist-2
0:40:44,range select,hist-2
0:40:45,range select,hist-2
0:40:46,range select,hist-2
0:40:47,range select,hist-2
0:41:00,range select,hist-2
0:41:07,range select,hist-2
0:41:12,range select,hist-2
0:41:21,pan,geo-0-1
0:41:22,zoom,geo-0-1
0:41:26,pan,geo-0-1
0:41:27,zoom,geo-0-1
0:41:32,range select,hist-2
0:41:39,pan,geo-0-1
0:41:42,pan,geo-0-1
0:41:43,zoom,geo-0-1
0:41:44,pan,geo-0-1
0:41:46,pan,geo-0-1
0:41:47,pan,geo-0-1
0:41:48,pan,geo-0-1
0:41:53,pan,geo-0-1
0:41:58,pan,geo-0-1
0:41:59,pan,geo-0-1
0:42:00,pan,geo-0-1
0:42:01,pan,geo-0-1
0:42:07,brush,bar-5
0:42:08,brush,bar-5
0:42:09,brush,bar-5
0:42:10,brush,bar-5
0:42:11,brush,bar-5
0:42:12,brush,bar-5
0:42:14,brush,bar-5
0:42:15,brush,bar-5
0:42:16,brush,bar-5
0:42:17,brush,bar-5
0:42:18,brush,bar-5
0:42:19,brush,bar-5
0:42:20,brush,bar-5
0:42:22,brush,bar-5
0:42:23,brush,bar-5
0:42:24,brush,bar-5
0:42:27,range select,geo-0-1
0:42:28,range select,geo-0-1
0:42:29,range select,geo-0-1
0:42:30,range select,geo-0-1
0:42:31,range select,geo-0-1
0:42:32,range select,geo-0-1
0:42:33,range select,geo-0-1
0:42:59,range select,hist-2
0:43:12,range select,geo-0-1
0:43:13,range select,geo-0-1
0:43:14,range select,geo-0-1
0:43:15,range select,geo-0-1
0:43:16,range select,geo-0-1
0:43:18,range select,geo-0-1
0:43:19,range select,geo-0-1
0:43:20,range select,geo-0-1
0:43:39,pan,geo-0-1
0:43:40,pan,geo-0-1
0:43:41,pan,geo-0-1
0:43:42,pan,geo-0-1
0:43:43,pan,geo-0-1
0:43:44,pan,geo-0-1
0:43:46,range select,bar-5
0:43:52,pan,geo-0-1
0:43:53,pan,geo-0-1
0:43:54,pan,geo-0-1
0:43:58,range select,bar-5
0:44:02,range select,bar-5
0:44:06,range select,bar-5
0:44:09,brush,bar-5
