time,action,visualization
0:01:05,brush,bar-5
0:01:10,brush,bar-5
0:01:12,brush,bar-5
0:01:14,range select,bar-5
0:01:18,pan,geo-0-1
0:01:19,pan,geo-0-1
0:01:20,pan,geo-0-1
0:01:21,pan,geo-0-1
0:01:23,pan,geo-0-1
0:01:44,pan,geo-0-1
0:01:45,zoom,geo-0-1
0:01:46,pan,geo-0-1
0:01:48,pan,geo-0-1
0:01:49,zoom,geo-0-1
0:01:50,pan,geo-0-1
0:01:52,pan,geo-0-1
0:01:54,pan,geo-0-1
0:01:55,zoom,geo-0-1
0:01:57,pan,geo-0-1
0:02:00,pan,geo-0-1
0:02:01,pan,geo-0-1
0:02:26,pan,geo-0-1
0:02:27,pan,geo-0-1
0:02:28,pan,geo-0-1
0:02:29,pan,geo-0-1
0:02:30,pan,geo-0-1
0:02:36,range select,bar-5
0:02:50,pan,geo-0-1
0:02:52,pan,geo-0-1
0:02:54,pan,geo-0-1
0:02:56,pan,geo-0-1
0:02:57,pan,geo-0-1
0:03:00,pan,geo-0-1
0:03:01,pan,geo-0-1
0:03:03,pan,geo-0-1
0:03:04,pan,geo-0-1
0:03:06,pan,geo-0-1
0:03:07,pan,geo-0-1
0:03:08,pan,geo-0-1
0:03:09,pan,geo-0-1
0:03:25,pan,geo-0-1
0:03:26,pan,geo-0-1
0:03:27,pan,geo-0-1
0:03:28,pan,geo-0-1
0:03:29,pan,geo-0-1
0:03:30,pan,geo-0-1
0:03:32,range select,bar-5
0:03:39,range select,bar-5
0:03:53,range select,bar-5
0:04:17,range select,bar-5
0:04:26,range select,bar-5
0:04:29,pan,geo-0-1
0:04:30,pan,geo-0-1
0:04:31,pan,geo-0-1
0:04:32,pan,geo-0-1
0:04:44,pan,geo-0-1
0:04:45,pan,geo-0-1
0:04:46,pan,geo-0-1
0:04:47,pan,geo-0-1
0:04:48,pan,geo-0-1
0:04:49,pan,geo-0-1
0:04:50,pan,geo-0-1
0:04:51,pan,geo-0-1
0:04:53,pan,geo-0-1
0:04:54,pan,geo-0-1
0:04:58,range select,bar-5
0:04:59,pan,geo-0-1
0:05:00,pan,geo-0-1
0:05:02,pan,geo-0-1
0:05:03,pan,geo-0-1
0:05:08,range select,bar-5
0:05:16,range select,bar-5
0:05:18,range select,bar-5
0:05:22,range select,bar-5
0:05:23,range select,bar-5
0:05:24,range select,bar-5
0:05:25,range select,bar-5
0:05:26,range select,bar-5
0:05:27,range select,bar-5
0:05:28,range select,bar-5
0:05:29,range select,bar-5
0:05:30,range select,bar-5
0:05:31,range select,bar-5
0:05:32,range select,bar-5
0:05:33,range select,bar-5
0:06:16,brush,hist-4
0:06:17,brush,hist-4
0:06:21,brush,hist-4
0:06:22,brush,hist-4
0:06:23,brush,hist-4
0:06:29,brush,hist-4
0:06:31,brush,hist-4
0:06:32,brush,hist-4
0:06:33,brush,hist-4
0:06:34,brush,hist-4
0:06:35,brush,hist-4
0:06:36,brush,hist-4
0:06:37,brush,hist-4
0:06:38,brush,hist-4
0:06:39,brush,hist-4
0:06:41,brush,hist-4
0:06:42,brush,hist-4
0:06:43,brush,hist-4
0:06:44,brush,hist-4
0:06:45,brush,hist-4
0:06:46,brush,hist-4
0:06:47,brush,hist-4
0:06:50,brush,hist-4
0:06:51,brush,hist-4
0:06:52,brush,hist-4
0:06:53,brush,hist-4
0:07:01,brush,hist-4
0:07:02,brush,hist-3
0:07:08,brush,hist-3
0:07:09,brush,hist-3
0:07:10,brush,hist-3
0:07:11,brush,hist-3
0:07:12,brush,hist-3
0:07:13,brush,hist-3
0:07:14,brush,hist-3
0:07:15,brush,hist-3
0:07:16,brush,hist-3
0:07:17,brush,hist-3
0:07:18,brush,hist-3
0:07:19,brush,hist-3
0:07:20,brush,hist-3
0:07:21,brush,hist-3
0:07:24,brush,hist-3
0:07:25,brush,hist-3
0:07:27,brush,hist-2
0:07:28,brush,hist-2
0:07:36,brush,hist-2
0:07:37,brush,hist-2
0:07:38,brush,hist-2
0:07:39,brush,hist-2
0:07:40,brush,hist-2
0:07:41,brush,hist-2
0:07:43,brush,hist-2
0:07:44,brush,hist-2
0:07:45,brush,hist-2
0:07:49,range select,hist-2
0:07:54,range select,geo-0-1
0:07:55,range select,geo-0-1
0:07:56,range select,geo-0-1
0:07:57,range select,geo-0-1
0:07:58,range select,geo-0-1
0:08:16,pan,geo-0-1
0:08:17,pan,geo-0-1
0:08:20,pan,geo-0-1
0:08:21,zoom,geo-0-1
0:08:22,pan,geo-0-1
0:08:23,pan,geo-0-1
0:08:26,pan,geo-0-1
0:08:37,pan,geo-0-1
0:08:38,pan,geo-0-1
0:08:39,pan,geo-0-1
0:08:43,pan,geo-0-1
0:08:44,pan,geo-0-1
0:08:46,pan,geo-0-1
0:08:48,pan,geo-0-1
0:08:51,pan,geo-0-1
0:08:55,pan,geo-0-1
0:08:56,pan,geo-0-1
0:09:12,brush,hist-3
0:09:12,brush,hist-4
0:09:24,range select,geo-0-1
0:09:25,range select,geo-0-1
0:09:26,range select,geo-0-1
0:09:52,range select,geo-0-1
0:09:53,range select,geo-0-1
0:09:54,range select,geo-0-1
0:09:55,range select,geo-0-1
0:09:58,range select,geo-0-1
0:09:59,range select,geo-0-1
0:10:00,range select,geo-0-1
0:10:01,range select,geo-0-1
0:10:06,range select,geo-0-1
0:10:07,range select,geo-0-1
0:10:08,range select,geo-0-1
0:10:09,range select,geo-0-1
0:10:20,pan,geo-0-1
0:10:21,pan,geo-0-1
0:10:25,range select,geo-0-1
0:10:26,range select,geo-0-1
0:10:27,range select,geo-0-1
0:10:44,pan,geo-0-1
0:10:45,range select,geo-0-1
0:10:46,range select,geo-0-1
0:10:47,range select,geo-0-1
0:10:48,range select,geo-0-1
0:10:49,range select,geo-0-1
0:11:03,range select,geo-0-1
0:11:04,range select,geo-0-1
0:11:06,range select,geo-0-1
0:11:07,range select,geo-0-1
0:11:08,range select,geo-0-1
0:11:09,range select,geo-0-1
0:11:21,range select,geo-0-1
0:11:22,range select,geo-0-1
0:11:23,range select,geo-0-1
0:11:26,range select,geo-0-1
0:11:34,range select,geo-0-1
0:11:35,range select,geo-0-1
0:11:36,range select,geo-0-1
0:11:37,range select,geo-0-1
0:11:39,range select,geo-0-1
0:11:41,range select,geo-0-1
0:11:42,range select,geo-0-1
0:11:43,range select,geo-0-1
0:11:44,range select,geo-0-1
0:11:45,range select,geo-0-1
0:11:46,range select,geo-0-1
0:11:47,range select,geo-0-1
0:11:49,range select,geo-0-1
0:11:52,range select,geo-0-1
0:11:53,range select,geo-0-1
0:11:54,range select,geo-0-1
0:11:55,range select,geo-0-1
0:11:56,range select,geo-0-1
0:11:58,pan,geo-0-1
0:11:59,pan,geo-0-1
0:12:01,pan,geo-0-1
0:12:02,pan,geo-0-1
0:12:03,pan,geo-0-1
0:12:04,pan,geo-0-1
0:12:06,range select,geo-0-1
0:12:07,range select,geo-0-1
0:12:08,pan,geo-0-1
0:12:13,pan,geo-0-1
0:12:14,pan,geo-0-1
0:12:16,pan,geo-0-1
0:12:17,pan,geo-0-1
0:12:18,range select,geo-0-1
0:12:19,range select,geo-0-1
0:12:20,range select,geo-0-1
0:12:21,range select,geo-0-1
0:12:22,range select,geo-0-1
0:12:23,range select,geo-0-1
0:12:24,range select,geo-0-1
0:12:25,range select,geo-0-1
0:12:26,range select,geo-0-1
0:12:27,range select,geo-0-1
0:12:30,range select,bar-5
0:12:32,pan,geo-0-1
0:12:34,pan,geo-0-1
0:12:35,pan,geo-0-1
0:12:36,pan,geo-0-1
0:12:37,pan,geo-0-1
0:12:38,pan,geo-0-1
0:12:39,range select,geo-0-1
0:12:41,range select,geo-0-1
0:12:42,range select,geo-0-1
0:12:50,pan,geo-0-1
0:12:51,pan,geo-0-1
0:12:53,pan,geo-0-1
0:12:54,pan,geo-0-1
0:12:58,pan,geo-0-1
0:12:59,pan,geo-0-1
0:13:00,range select,geo-0-1
0:13:01,range select,geo-0-1
0:13:02,range select,geo-0-1
0:13:03,range select,geo-0-1
0:13:04,range select,geo-0-1
0:13:05,range select,geo-0-1
0:13:32,brush,hist-4
0:13:34,range select,geo-0-1
0:13:35,range select,geo-0-1
0:14:03,pan,geo-0-1
0:14:04,pan,geo-0-1
0:14:06,range select,geo-0-1
0:14:07,range select,geo-0-1
0:14:08,range select,geo-0-1
0:14:48,pan,geo-0-1
0:14:49,pan,geo-0-1
0:14:52,pan,geo-0-1
0:14:53,pan,geo-0-1
0:14:54,pan,geo-0-1
0:14:55,zoom,geo-0-1
0:14:59,pan,geo-0-1
0:15:00,pan,geo-0-1
0:15:01,zoom,geo-0-1
0:15:03,pan,geo-0-1
0:15:08,pan,geo-0-1
0:15:09,pan,geo-0-1
0:15:13,range select,geo-0-1
0:15:14,range select,geo-0-1
0:15:15,range select,geo-0-1
0:15:37,pan,geo-0-1
0:15:38,zoom,geo-0-1
0:15:39,pan,geo-0-1
0:15:41,pan,geo-0-1
0:15:42,pan,geo-0-1
0:15:43,pan,geo-0-1
0:15:59,pan,geo-0-1
0:16:00,pan,geo-0-1
0:16:01,pan,geo-0-1
0:16:02,zoom,geo-0-1
0:16:03,pan,geo-0-1
0:16:12,pan,geo-0-1
0:16:30,pan,geo-0-1
0:16:33,pan,geo-0-1
0:16:34,pan,geo-0-1
0:16:35,pan,geo-0-1
0:16:36,pan,geo-0-1
0:16:37,pan,geo-0-1
0:16:38,pan,geo-0-1
0:16:39,pan,geo-0-1
0:16:41,pan,geo-0-1
0:16:42,pan,geo-0-1
0:16:43,pan,geo-0-1
0:16:44,pan,geo-0-1
0:16:46,pan,geo-0-1
0:16:47,pan,geo-0-1
0:16:48,pan,geo-0-1
0:16:49,pan,geo-0-1
0:16:50,pan,geo-0-1
0:16:51,pan,geo-0-1
0:16:53,pan,geo-0-1
0:16:54,pan,geo-0-1
0:16:55,pan,geo-0-1
0:16:57,pan,geo-0-1
0:16:58,pan,geo-0-1
0:16:59,pan,geo-0-1
0:17:00,pan,geo-0-1
0:17:01,pan,geo-0-1
0:17:03,pan,geo-0-1
0:17:07,pan,geo-0-1
0:17:09,pan,geo-0-1
0:17:10,pan,geo-0-1
0:17:12,pan,geo-0-1
0:17:13,pan,geo-0-1
0:17:14,pan,geo-0-1
0:17:17,pan,geo-0-1
0:17:23,pan,geo-0-1
0:17:24,pan,geo-0-1
0:17:25,pan,geo-0-1
0:17:31,pan,geo-0-1
0:17:32,pan,geo-0-1
0:17:33,pan,geo-0-1
0:17:39,pan,geo-0-1
0:17:40,pan,geo-0-1
0:17:41,pan,geo-0-1
0:17:42,pan,geo-0-1
0:17:44,pan,geo-0-1
0:17:45,pan,geo-0-1
0:17:48,pan,geo-0-1
0:17:49,pan,geo-0-1
0:17:50,pan,geo-0-1
0:17:51,pan,geo-0-1
0:17:52,pan,geo-0-1
0:17:53,pan,geo-0-1
0:17:54,pan,geo-0-1
0:17:55,pan,geo-0-1
0:17:56,pan,geo-0-1
0:18:04,pan,geo-0-1
0:18:05,pan,geo-0-1
0:18:06,pan,geo-0-1
0:18:07,pan,geo-0-1
0:18:11,pan,geo-0-1
0:18:12,pan,geo-0-1
0:18:13,pan,geo-0-1
0:18:14,pan,geo-0-1
0:18:16,pan,geo-0-1
0:18:18,pan,geo-0-1
0:18:19,pan,geo-0-1
0:18:21,pan,geo-0-1
0:18:22,pan,geo-0-1
0:18:23,pan,geo-0-1
0:18:24,pan,geo-0-1
0:18:25,zoom,geo-0-1
0:18:27,pan,geo-0-1
0:18:31,pan,geo-0-1
0:18:35,range select,geo-0-1
0:18:36,range select,geo-0-1
0:18:44,pan,geo-0-1
0:18:45,pan,geo-0-1
0:18:47,pan,geo-0-1
0:18:48,pan,geo-0-1
0:18:49,pan,geo-0-1
0:18:50,pan,geo-0-1
0:18:54,pan,geo-0-1
0:18:55,pan,geo-0-1
0:18:57,pan,geo-0-1
0:18:58,pan,geo-0-1
0:18:59,pan,geo-0-1
0:19:00,pan,geo-0-1
0:19:01,pan,geo-0-1
0:19:04,range select,geo-0-1
0:19:05,range select,geo-0-1
0:19:06,range select,geo-0-1
0:19:07,range select,geo-0-1
0:19:20,pan,geo-0-1
0:19:21,pan,geo-0-1
0:19:22,pan,geo-0-1
0:19:23,pan,geo-0-1
0:19:24,pan,geo-0-1
0:19:26,pan,geo-0-1
0:19:27,pan,geo-0-1
0:19:28,pan,geo-0-1
0:19:29,pan,geo-0-1
0:19:33,pan,geo-0-1
0:19:34,pan,geo-0-1
0:19:35,pan,geo-0-1
0:19:36,pan,geo-0-1
0:19:37,pan,geo-0-1
0:19:38,pan,geo-0-1
0:19:39,pan,geo-0-1
0:19:40,pan,geo-0-1
0:19:41,pan,geo-0-1
0:19:42,pan,geo-0-1
0:19:43,pan,geo-0-1
0:19:47,range select,geo-0-1
0:19:48,range select,geo-0-1
0:19:49,range select,geo-0-1
0:19:50,range select,geo-0-1
0:19:51,range select,geo-0-1
0:19:58,pan,geo-0-1
0:19:59,pan,geo-0-1
0:20:01,pan,geo-0-1
0:20:02,pan,geo-0-1
0:20:03,pan,geo-0-1
0:20:05,range select,geo-0-1
0:20:06,range select,geo-0-1
0:20:07,range select,geo-0-1
0:20:09,range select,geo-0-1
0:20:11,range select,geo-0-1
0:20:12,range select,geo-0-1
0:20:13,range select,geo-0-1
0:20:14,range select,geo-0-1
0:20:15,range select,geo-0-1
0:20:18,range select,geo-0-1
0:20:19,range select,geo-0-1
0:20:33,range select,geo-0-1
0:20:34,range select,geo-0-1
0:20:35,range select,geo-0-1
0:20:36,range select,geo-0-1
0:20:37,range select,geo-0-1
0:20:51,range select,geo-0-1
0:20:52,range select,geo-0-1
0:20:53,range select,geo-0-1
0:20:55,range select,geo-0-1
0:20:59,range select,geo-0-1
0:21:00,range select,geo-0-1
0:21:01,range select,geo-0-1
0:21:07,range select,geo-0-1
0:21:08,range select,geo-0-1
0:21:09,range select,geo-0-1
0:21:11,range select,geo-0-1
0:21:12,range select,geo-0-1
0:21:13,range select,geo-0-1
0:21:14,range select,geo-0-1
0:21:15,pan,geo-0-1
0:21:16,zoom,geo-0-1
0:21:17,pan,geo-0-1
0:21:18,pan,geo-0-1
0:21:20,range select,geo-0-1
0:21:21,range select,geo-0-1
0:21:22,range select,geo-0-1
0:21:23,range select,geo-0-1
0:21:24,range select,geo-0-1
0:21:25,range select,geo-0-1
0:21:26,range select,geo-0-1
0:21:27,range select,geo-0-1
0:21:28,range select,geo-0-1
0:21:29,range select,geo-0-1
0:21:30,range select,geo-0-1
0:21:32,range select,geo-0-1
0:21:33,range select,geo-0-1
0:21:34,range select,geo-0-1
0:21:35,range select,geo-0-1
0:21:36,range select,geo-0-1
0:21:37,range select,geo-0-1
0:21:40,range select,geo-0-1
0:21:41,range select,geo-0-1
0:21:42,range select,geo-0-1
0:21:43,range select,geo-0-1
0:22:05,pan,geo-0-1
0:22:06,pan,geo-0-1
0:22:07,pan,geo-0-1
0:22:08,pan,geo-0-1
0:22:09,range select,geo-0-1
0:22:10,range select,geo-0-1
0:22:11,range select,geo-0-1
0:22:13,range select,geo-0-1
0:22:21,brush,hist-4
0:23:28,pan,geo-0-1
0:23:29,pan,geo-0-1
0:23:30,pan,geo-0-1
0:23:31,pan,geo-0-1
0:23:32,pan,geo-0-1
0:23:33,pan,geo-0-1
0:23:34,pan,geo-0-1
0:23:35,pan,geo-0-1
0:23:36,pan,geo-0-1
0:23:41,pan,geo-0-1
0:23:44,pan,geo-0-1
0:23:47,pan,geo-0-1
0:23:48,pan,geo-0-1
0:23:49,pan,geo-0-1
0:23:51,pan,geo-0-1
0:23:52,pan,geo-0-1
0:23:53,pan,geo-0-1
0:23:54,pan,geo-0-1
0:23:55,pan,geo-0-1
0:23:56,pan,geo-0-1
0:24:00,pan,geo-0-1
0:24:01,pan,geo-0-1
0:24:16,pan,geo-0-1
0:24:18,pan,geo-0-1
0:24:20,pan,geo-0-1
0:24:21,pan,geo-0-1
0:24:22,pan,geo-0-1
0:24:23,pan,geo-0-1
0:24:25,pan,geo-0-1
0:24:27,pan,geo-0-1
0:24:28,pan,geo-0-1
0:24:55,pan,geo-0-1
0:24:57,pan,geo-0-1
0:24:58,pan,geo-0-1
0:24:59,pan,geo-0-1
0:25:01,pan,geo-0-1
0:25:03,pan,geo-0-1
0:25:04,pan,geo-0-1
0:25:05,pan,geo-0-1
0:25:06,pan,geo-0-1
0:25:07,pan,geo-0-1
0:25:08,pan,geo-0-1
0:25:09,pan,geo-0-1
0:25:15,pan,geo-0-1
0:25:16,zoom,geo-0-1
