user, time, action, visualization
p16,0:00:00,brush,hist-3
p16,0:00:02,brush,hist-4
p16,0:00:03,brush,hist-4
p16,0:00:04,brush,hist-4
p16,0:00:05,brush,hist-4
p16,0:00:06,brush,hist-4
p16,0:00:07,brush,hist-4
p16,0:00:08,brush,hist-4
p16,0:00:09,brush,hist-4
p16,0:00:10,brush,hist-3
p16,0:00:11,brush,hist-3
p16,0:00:12,brush,hist-3
p16,0:00:13,brush,hist-3
p16,0:00:14,brush,hist-3
p16,0:00:15,brush,hist-3
p16,0:00:16,brush,hist-3
p16,0:00:17,brush,hist-3
p16,0:00:18,brush,hist-3
p16,0:00:19,brush,hist-2
p16,0:00:20,brush,hist-2
p16,0:00:21,brush,hist-2
p16,0:00:22,brush,hist-2
p16,0:00:23,brush,hist-2
p16,0:00:45,brush,hist-2
p16,0:00:46,brush,hist-2
p16,0:00:47,brush,hist-2
p16,0:00:48,brush,hist-2
p16,0:00:49,brush,hist-2
p16,0:00:53,brush,hist-2
p16,0:01:02,brush,hist-2
p16,0:01:03,brush,hist-2
p16,0:01:04,brush,hist-3
p16,0:01:05,brush,hist-3
p16,0:01:07,brush,bar-5
p16,0:01:08,range select,bar-5
p16,0:01:33,range select,bar-5
p16,0:01:41,range select,bar-5
p16,0:01:57,brush,bar-5
p16,0:01:58,brush,bar-5
p16,0:02:03,brush,bar-5
p16,0:02:07,brush,bar-5
p16,0:02:09,brush,bar-5
p16,0:02:15,brush,bar-5
p16,0:02:20,brush,bar-5
p16,0:02:21,range select,bar-5
p16,0:02:22,range select,bar-5
p16,0:02:27,range select,bar-5
p16,0:02:28,range select,bar-5
p16,0:02:29,range select,bar-5
p16,0:03:39,range select,hist-2
p16,0:03:56,brush,hist-4
p16,0:03:57,brush,hist-2
p16,0:03:58,range select,hist-2
p16,0:04:02,range select,bar-5
p16,0:04:07,range select,hist-2
p16,0:04:46,range select,bar-5
p16,0:04:47,range select,bar-5
p16,0:04:58,brush,hist-4
p16,0:05:03,range select,geo-0-1
p16,0:05:04,range select,geo-0-1
p16,0:05:05,range select,geo-0-1
p16,0:05:06,range select,geo-0-1
p16,0:05:07,range select,geo-0-1
p16,0:05:15,pan,geo-0-1
p16,0:05:16,zoom,geo-0-1
p16,0:05:21,pan,geo-0-1
p16,0:05:22,pan,geo-0-1
p16,0:05:25,pan,geo-0-1
