user, time, action, visualization
p9,0:00:45,brush,bar-5
p9,0:00:50,brush,bar-5
p9,0:00:51,brush,bar-5
p9,0:00:54,range select,bar-5
p9,0:00:58,pan,geo-0-1
p9,0:00:59,pan,geo-0-1
p9,0:01:00,pan,geo-0-1
p9,0:01:01,pan,geo-0-1
p9,0:01:03,pan,geo-0-1
p9,0:01:24,pan,geo-0-1
p9,0:01:25,pan,geo-0-1
p9,0:01:26,zoom,geo-0-1
p9,0:01:28,pan,geo-0-1
p9,0:01:30,pan,geo-0-1
p9,0:01:31,pan,geo-0-1
p9,0:01:32,zoom,geo-0-1
p9,0:01:34,pan,geo-0-1
p9,0:01:37,pan,geo-0-1
p9,0:01:40,pan,geo-0-1
p9,0:01:41,pan,geo-0-1
p9,0:02:05,pan,geo-0-1
p9,0:02:06,pan,geo-0-1
p9,0:02:07,pan,geo-0-1
p9,0:02:08,pan,geo-0-1
p9,0:02:09,pan,geo-0-1
p9,0:02:10,pan,geo-0-1
p9,0:02:16,range select,bar-5
p9,0:02:29,pan,geo-0-1
p9,0:02:30,pan,geo-0-1
p9,0:02:31,pan,geo-0-1
p9,0:02:32,pan,geo-0-1
p9,0:02:34,pan,geo-0-1
p9,0:02:35,pan,geo-0-1
p9,0:02:36,pan,geo-0-1
p9,0:02:37,pan,geo-0-1
p9,0:02:40,pan,geo-0-1
p9,0:02:43,pan,geo-0-1
p9,0:02:44,pan,geo-0-1
p9,0:02:45,pan,geo-0-1
p9,0:02:46,zoom,geo-0-1
p9,0:02:47,pan,geo-0-1
p9,0:02:48,pan,geo-0-1
p9,0:02:49,pan,geo-0-1
p9,0:03:05,pan,geo-0-1
p9,0:03:06,zoom,geo-0-1
p9,0:03:07,pan,geo-0-1
p9,0:03:08,pan,geo-0-1
p9,0:03:09,pan,geo-0-1
p9,0:03:10,pan,geo-0-1
p9,0:03:11,range select,bar-5
p9,0:03:19,range select,bar-5
p9,0:03:33,range select,bar-5
p9,0:03:56,range select,bar-5
p9,0:04:06,range select,bar-5
p9,0:04:09,pan,geo-0-1
p9,0:04:10,pan,geo-0-1
p9,0:04:11,pan,geo-0-1
p9,0:04:12,pan,geo-0-1
p9,0:04:24,pan,geo-0-1
p9,0:04:25,pan,geo-0-1
p9,0:04:26,pan,geo-0-1
