user, time, action, visualization
p4,0:00:00,pan,geo-0-1
p4,0:00:01,pan,geo-0-1
p4,0:00:02,pan,geo-0-1
p4,0:00:03,pan,geo-0-1
p4,0:00:04,pan,geo-0-1
p4,0:00:05,pan,geo-0-1
p4,0:00:06,pan,geo-0-1
p4,0:00:07,pan,geo-0-1
p4,0:01:40,pan,geo-0-1
p4,0:01:41,zoom,geo-0-1
p4,0:01:42,pan,geo-0-1
p4,0:01:44,pan,geo-0-1
p4,0:01:47,pan,geo-0-1
p4,0:01:48,pan,geo-0-1
p4,0:01:54,pan,geo-0-1
p4,0:01:55,pan,geo-0-1
p4,0:01:56,pan,geo-0-1
p4,0:02:00,pan,geo-0-1
p4,0:02:01,pan,geo-0-1
p4,0:02:02,pan,geo-0-1
p4,0:02:03,pan,geo-0-1
p4,0:02:05,pan,geo-0-1
p4,0:02:06,pan,geo-0-1
p4,0:02:07,pan,geo-0-1
p4,0:02:08,pan,geo-0-1
p4,0:02:09,pan,geo-0-1
p4,0:02:10,pan,geo-0-1
p4,0:02:11,pan,geo-0-1
p4,0:02:12,pan,geo-0-1
p4,0:02:13,pan,geo-0-1
p4,0:02:14,pan,geo-0-1
p4,0:02:18,pan,geo-0-1
p4,0:02:19,pan,geo-0-1
p4,0:02:20,pan,geo-0-1
p4,0:02:21,pan,geo-0-1
p4,0:02:22,pan,geo-0-1
p4,0:02:23,pan,geo-0-1
p4,0:02:24,pan,geo-0-1
p4,0:02:25,zoom,geo-0-1
p4,0:02:29,range select,geo-0-1
p4,0:03:07,range select,geo-0-1
p4,0:03:17,pan,geo-0-1
p4,0:03:43,pan,geo-0-1
p4,0:03:44,pan,geo-0-1
p4,0:03:45,range select,geo-0-1
p4,0:03:46,range select,geo-0-1
p4,0:03:47,range select,geo-0-1
p4,0:03:48,range select,geo-0-1
p4,0:03:49,range select,geo-0-1
p4,0:03:50,range select,geo-0-1
p4,0:03:51,range select,geo-0-1
p4,0:03:52,range select,geo-0-1
p4,0:03:53,range select,geo-0-1
p4,0:04:04,pan,geo-0-1
p4,0:04:05,range select,geo-0-1
p4,0:04:06,range select,geo-0-1
p4,0:04:20,pan,geo-0-1
p4,0:04:21,pan,geo-0-1
p4,0:04:22,range select,geo-0-1
p4,0:04:30,pan,geo-0-1
p4,0:04:32,pan,geo-0-1
p4,0:04:43,range select,geo-0-1
p4,0:04:44,range select,geo-0-1
p4,0:04:56,pan,geo-0-1
p4,0:04:57,pan,geo-0-1
p4,0:04:58,pan,geo-0-1
p4,0:04:59,range select,geo-0-1
p4,0:05:00,range select,geo-0-1
p4,0:05:38,brush,hist-4
p4,0:05:43,brush,hist-4
p4,0:05:44,brush,hist-4
p4,0:05:46,range select,geo-0-1
p4,0:05:47,range select,geo-0-1
p4,0:05:50,range select,geo-0-1
p4,0:05:51,range select,geo-0-1
p4,0:05:52,range select,geo-0-1
p4,0:05:58,range select,geo-0-1
p4,0:05:59,range select,geo-0-1
p4,0:06:02,range select,geo-0-1
p4,0:06:04,range select,geo-0-1
p4,0:06:06,range select,geo-0-1
p4,0:06:08,range select,geo-0-1
p4,0:06:11,range select,geo-0-1
p4,0:06:17,pan,geo-0-1
p4,0:06:19,pan,geo-0-1
p4,0:06:20,pan,geo-0-1
p4,0:06:21,pan,geo-0-1
p4,0:06:22,range select,geo-0-1
p4,0:06:23,range select,geo-0-1
p4,0:06:33,brush,hist-4
p4,0:06:34,range select,geo-0-1
p4,0:06:35,range select,geo-0-1
p4,0:06:36,range select,geo-0-1
p4,0:06:40,range select,geo-0-1
p4,0:06:41,range select,geo-0-1
p4,0:06:42,range select,geo-0-1
p4,0:06:55,range select,geo-0-1
p4,0:06:56,range select,geo-0-1
p4,0:06:57,range select,geo-0-1
p4,0:07:03,range select,geo-0-1
p4,0:07:04,range select,geo-0-1
p4,0:07:06,brush,bar-5
p4,0:07:11,pan,geo-0-1
p4,0:07:12,pan,geo-0-1
p4,0:07:13,zoom,geo-0-1
p4,0:07:14,pan,geo-0-1
p4,0:07:16,pan,geo-0-1
p4,0:07:17,zoom,geo-0-1
p4,0:07:18,zoom,geo-0-1
p4,0:07:19,pan,geo-0-1
p4,0:07:20,pan,geo-0-1
p4,0:07:21,pan,geo-0-1
p4,0:07:23,pan,geo-0-1
p4,0:07:24,pan,geo-0-1
p4,0:07:26,range select,geo-0-1
p4,0:07:27,range select,geo-0-1
p4,0:07:36,range select,geo-0-1
p4,0:07:37,range select,geo-0-1
p4,0:07:39,range select,geo-0-1
p4,0:07:40,range select,geo-0-1
p4,0:07:41,range select,geo-0-1
p4,0:07:42,range select,geo-0-1
p4,0:07:45,range select,geo-0-1
p4,0:07:56,range select,geo-0-1
p4,0:07:57,range select,geo-0-1
p4,0:08:00,pan,geo-0-1
p4,0:08:01,zoom,geo-0-1
p4,0:08:02,pan,geo-0-1
p4,0:08:03,pan,geo-0-1
p4,0:08:04,pan,geo-0-1
p4,0:08:05,pan,geo-0-1
p4,0:08:06,zoom,geo-0-1
p4,0:08:08,range select,geo-0-1
p4,0:08:09,range select,geo-0-1
p4,0:08:10,range select,geo-0-1
p4,0:08:12,range select,geo-0-1
p4,0:08:13,range select,geo-0-1
p4,0:08:15,pan,geo-0-1
p4,0:08:16,zoom,geo-0-1
p4,0:08:17,pan,geo-0-1
p4,0:08:18,pan,geo-0-1
p4,0:08:19,pan,geo-0-1
p4,0:08:20,pan,geo-0-1
p4,0:08:21,pan,geo-0-1
p4,0:08:22,pan,geo-0-1
p4,0:08:23,zoom,geo-0-1
p4,0:08:24,pan,geo-0-1
p4,0:08:26,pan,geo-0-1
p4,0:08:28,range select,geo-0-1
p4,0:08:29,range select,geo-0-1
p4,0:08:30,range select,geo-0-1
p4,0:08:31,range select,geo-0-1
p4,0:08:52,pan,geo-0-1
p4,0:08:53,pan,geo-0-1
p4,0:08:54,pan,geo-0-1
p4,0:08:55,pan,geo-0-1
p4,0:08:56,pan,geo-0-1
p4,0:08:57,pan,geo-0-1
p4,0:08:58,pan,geo-0-1
p4,0:08:59,pan,geo-0-1
p4,0:09:00,pan,geo-0-1
p4,0:09:01,pan,geo-0-1
p4,0:09:02,pan,geo-0-1
p4,0:09:03,pan,geo-0-1
p4,0:09:04,pan,geo-0-1
p4,0:09:05,pan,geo-0-1
p4,0:09:06,pan,geo-0-1
p4,0:09:07,pan,geo-0-1
p4,0:09:08,pan,geo-0-1
p4,0:09:09,pan,geo-0-1
p4,0:09:14,range select,geo-0-1
p4,0:09:15,range select,geo-0-1
p4,0:09:16,range select,geo-0-1
p4,0:09:17,range select,geo-0-1
p4,0:09:32,brush,hist-4
p4,0:09:39,pan,geo-0-1
p4,0:09:40,pan,geo-0-1
p4,0:09:42,range select,geo-0-1
p4,0:09:43,range select,geo-0-1
p4,0:09:44,range select,geo-0-1
p4,0:09:45,range select,geo-0-1
p4,0:09:47,range select,geo-0-1
p4,0:09:50,range select,geo-0-1
p4,0:09:51,range select,geo-0-1
p4,0:09:52,range select,geo-0-1
p4,0:09:53,range select,geo-0-1
p4,0:09:54,range select,geo-0-1
p4,0:09:55,range select,geo-0-1
p4,0:09:56,range select,geo-0-1
