user, time, action, visualization
p2,0:00:00,brush,bar-4
p2,0:00:55,zoom,scatterplot-0-1
p2,0:00:56,pan,scatterplot-0-1
p2,0:00:57,pan,scatterplot-0-1
p2,0:00:58,zoom,scatterplot-0-1
p2,0:01:03,range select,scatterplot-0-1
p2,0:01:04,range select,scatterplot-0-1
p2,0:01:05,range select,scatterplot-0-1
p2,0:01:06,pan,scatterplot-0-1
p2,0:01:07,range select,scatterplot-0-1
p2,0:01:08,range select,scatterplot-0-1
p2,0:01:19,range select,scatterplot-0-1
p2,0:01:20,range select,scatterplot-0-1
p2,0:01:56,brush,bar-2
p2,0:01:57,range select,bar-2
p2,0:02:09,brush,bar-4
p2,0:02:10,brush,bar-4
p2,0:02:14,brush,bar-4
p2,0:02:15,brush,bar-4
p2,0:02:17,brush,bar-4
p2,0:02:18,brush,bar-4
p2,0:02:19,brush,bar-4
p2,0:02:27,brush,bar-4
p2,0:02:34,brush,bar-4
p2,0:02:35,brush,bar-4
p2,0:02:36,brush,bar-4
p2,0:02:37,brush,bar-4
p2,0:02:38,brush,bar-4
p2,0:02:39,brush,bar-4
p2,0:02:45,brush,bar-4
p2,0:02:50,brush,bar-4
p2,0:02:51,brush,bar-4
p2,0:02:53,brush,bar-4
p2,0:03:01,brush,bar-4
p2,0:03:02,brush,bar-4
p2,0:03:04,brush,bar-4
p2,0:03:05,brush,bar-4
p2,0:03:07,brush,bar-4
p2,0:03:08,brush,bar-4
p2,0:03:09,brush,bar-4
p2,0:03:15,brush,bar-4
p2,0:03:18,brush,bar-4
p2,0:03:21,brush,bar-4
p2,0:03:29,brush,bar-4
p2,0:03:35,brush,bar-4
p2,0:03:38,brush,bar-4
p2,0:03:40,brush,bar-4
p2,0:03:47,brush,bar-4
p2,0:03:49,brush,bar-4
p2,0:03:50,brush,bar-4
p2,0:03:51,brush,bar-4
p2,0:03:53,brush,bar-4
p2,0:03:54,brush,bar-4
p2,0:03:57,brush,bar-4
p2,0:04:01,pan,bar-4
