user, time, action, visualization
p14,0:00:00,brush,bar-4
p14,0:00:01,range select,bar-2
p14,0:00:15,range select,bar-2
p14,0:00:21,range select,bar-2
p14,0:00:23,range select,bar-2
p14,0:00:24,range select,bar-2
p14,0:00:25,range select,bar-2
p14,0:00:27,brush,bar-2
p14,0:00:28,brush,bar-2
p14,0:00:29,brush,bar-2
p14,0:00:30,brush,bar-2
p14,0:00:31,brush,bar-2
p14,0:00:32,brush,bar-2
p14,0:00:33,brush,bar-2
p14,0:00:34,brush,bar-2
p14,0:00:35,brush,bar-2
p14,0:00:36,brush,bar-2
p14,0:00:43,brush,bar-2
p14,0:00:44,brush,bar-2
p14,0:00:45,brush,bar-2
p14,0:00:46,brush,bar-2
p14,0:00:47,brush,bar-2
p14,0:00:48,brush,bar-2
p14,0:00:49,brush,bar-2
p14,0:00:50,brush,bar-2
p14,0:00:51,brush,bar-2
p14,0:00:53,brush,bar-2
p14,0:00:54,brush,bar-2
p14,0:00:55,brush,bar-2
p14,0:00:56,brush,bar-2
p14,0:00:57,brush,bar-2
p14,0:00:58,brush,bar-2
p14,0:00:59,brush,bar-2
p14,0:01:00,brush,bar-2
p14,0:01:01,brush,bar-2
p14,0:01:02,brush,bar-2
p14,0:01:03,brush,bar-2
p14,0:01:04,brush,bar-2
p14,0:01:05,brush,bar-2
p14,0:01:06,brush,bar-2
p14,0:01:08,brush,bar-2
p14,0:01:10,brush,bar-4
p14,0:01:11,brush,bar-2
p14,0:01:12,brush,bar-2
p14,0:01:13,brush,bar-2
p14,0:01:14,brush,bar-2
p14,0:01:15,brush,bar-2
p14,0:01:16,brush,bar-2
p14,0:01:17,brush,bar-2
p14,0:01:18,brush,bar-2
p14,0:01:19,brush,bar-2
p14,0:01:20,brush,bar-2
p14,0:01:21,brush,bar-2
p14,0:01:22,brush,bar-2
p14,0:01:23,brush,bar-2
p14,0:01:24,brush,bar-2
p14,0:01:25,brush,bar-2
p14,0:01:26,brush,bar-2
p14,0:01:28,brush,bar-4
p14,0:01:29,brush,bar-2
p14,0:01:30,brush,bar-2
p14,0:01:31,brush,bar-2
p14,0:01:32,brush,bar-2
p14,0:01:33,brush,bar-2
p14,0:01:34,brush,bar-2
p14,0:01:35,brush,bar-2
p14,0:01:36,brush,bar-2
p14,0:01:37,brush,bar-2
p14,0:01:39,brush,bar-2
p14,0:02:03,brush,bar-4
p14,0:02:19,brush,bar-4
p14,0:02:20,brush,bar-4
p14,0:02:21,brush,bar-4
p14,0:02:22,brush,bar-4
p14,0:02:23,brush,bar-4
p14,0:02:27,brush,bar-4
p14,0:02:28,brush,bar-4
p14,0:02:29,brush,bar-4
p14,0:02:40,brush,bar-4
p14,0:02:41,brush,bar-4
p14,0:02:42,brush,bar-4
p14,0:02:43,brush,bar-4
p14,0:02:45,brush,bar-4
p14,0:02:46,brush,bar-4
p14,0:02:50,brush,bar-4
p14,0:02:51,brush,bar-4
p14,0:02:53,brush,bar-4
p14,0:02:54,brush,bar-4
p14,0:02:55,brush,bar-4
p14,0:02:57,brush,bar-4
p14,0:02:58,brush,bar-4
p14,0:02:59,brush,bar-4
p14,0:03:00,brush,bar-4
p14,0:03:01,brush,bar-4
p14,0:03:03,brush,bar-4
p14,0:03:04,brush,bar-4
p14,0:03:05,brush,bar-4
p14,0:03:06,brush,bar-4
p14,0:03:07,brush,bar-4
p14,0:03:08,brush,bar-4
