user, time, action, visualization
p3,0:00:00,brush,bar-4
p3,0:06:39,brush,bar-4
p3,0:06:45,brush,bar-4
p3,0:06:51,brush,bar-4
p3,0:06:52,brush,bar-4
p3,0:06:56,brush,bar-4
p3,0:07:22,brush,bar-4
p3,0:07:24,brush,bar-4
p3,0:07:25,brush,bar-4
p3,0:07:27,brush,bar-4
p3,0:07:28,brush,bar-4
p3,0:07:30,brush,bar-4
p3,0:07:35,brush,bar-4
p3,0:07:50,brush,bar-4
p3,0:07:52,brush,bar-4
p3,0:08:02,brush,bar-4
p3,0:08:06,brush,bar-4
p3,0:08:07,brush,bar-4
p3,0:08:09,brush,bar-4
p3,0:08:10,brush,bar-4
p3,0:08:11,brush,bar-4
p3,0:08:14,brush,bar-4
p3,0:08:15,brush,bar-4
p3,0:08:16,brush,bar-4
p3,0:08:17,brush,bar-4
p3,0:08:18,brush,bar-4
p3,0:08:19,brush,bar-4
p3,0:08:25,brush,bar-4
p3,0:08:27,brush,bar-4
p3,0:08:28,brush,bar-4
p3,0:08:31,brush,bar-4
p3,0:08:32,brush,bar-4
p3,0:08:35,brush,bar-4
p3,0:08:38,brush,bar-4
p3,0:08:39,brush,bar-4
p3,0:08:43,brush,bar-4
p3,0:08:44,brush,bar-4
p3,0:08:45,brush,bar-4
p3,0:08:46,brush,bar-4
p3,0:08:48,brush,bar-4
p3,0:08:49,brush,bar-4
p3,0:09:04,brush,bar-4
p3,0:09:06,brush,bar-4
p3,0:09:08,brush,bar-4
p3,0:09:09,brush,bar-4
p3,0:09:10,brush,bar-4
p3,0:09:16,brush,bar-4
p3,0:09:17,brush,bar-4
p3,0:09:19,brush,bar-4
p3,0:09:20,brush,bar-4
p3,0:09:21,brush,bar-4
p3,0:09:22,brush,bar-4
p3,0:09:23,brush,bar-4
p3,0:09:24,brush,bar-4
p3,0:09:25,brush,bar-4
p3,0:09:26,brush,bar-4
p3,0:09:27,brush,bar-4
p3,0:09:28,brush,bar-4
p3,0:09:29,brush,bar-4
p3,0:09:30,brush,bar-4
p3,0:09:31,brush,bar-4
p3,0:09:33,brush,bar-4
p3,0:09:35,brush,bar-4
p3,0:09:36,brush,bar-4
p3,0:09:37,brush,bar-4
p3,0:09:38,brush,bar-4
p3,0:09:39,brush,bar-4
p3,0:09:40,brush,bar-4
p3,0:09:41,brush,bar-4
p3,0:09:42,brush,bar-4
p3,0:09:43,brush,bar-4
p3,0:09:44,brush,bar-4
p3,0:09:45,brush,bar-4
p3,0:09:46,brush,bar-4
p3,0:09:47,brush,bar-4
p3,0:09:57,brush,bar-4
p3,0:09:58,brush,bar-4
p3,0:11:27,brush,bar-4
p3,0:11:30,brush,bar-4
p3,0:11:31,brush,bar-4
p3,0:11:33,brush,bar-4
p3,0:11:34,brush,bar-4
p3,0:11:35,brush,bar-4
p3,0:11:36,brush,bar-4
p3,0:11:37,brush,bar-4
p3,0:11:38,brush,bar-4
p3,0:11:39,brush,bar-4
p3,0:11:40,brush,bar-4
p3,0:11:43,brush,bar-4
