user, time, action, visualization
p7,0:00:00,brush,bar-4
p7,0:00:09,brush,bar-4
p7,0:00:10,brush,bar-4
p7,0:00:11,brush,bar-4
p7,0:00:14,brush,bar-4
p7,0:00:17,brush,bar-4
p7,0:00:18,brush,bar-4
p7,0:00:19,brush,bar-4
p7,0:00:20,brush,bar-4
p7,0:00:21,brush,bar-2
p7,0:00:22,brush,bar-2
p7,0:00:23,brush,bar-2
p7,0:00:24,brush,bar-2
p7,0:00:25,brush,bar-2
p7,0:00:26,brush,bar-2
p7,0:00:29,brush,bar-2
p7,0:00:31,brush,bar-2
p7,0:00:32,brush,bar-2
p7,0:00:37,brush,hist-3
p7,0:00:38,brush,hist-3
p7,0:00:40,brush,hist-3
p7,0:00:42,brush,bar-2
p7,0:00:44,brush,bar-2
p7,0:00:45,brush,bar-2
p7,0:00:46,brush,bar-2
p7,0:00:47,brush,bar-2
p7,0:00:48,brush,bar-2
p7,0:00:51,brush,bar-2
p7,0:00:52,brush,bar-2
p7,0:00:53,brush,bar-2
p7,0:00:54,brush,bar-2
p7,0:00:55,brush,bar-2
p7,0:00:56,brush,bar-2
p7,0:00:57,brush,bar-2
p7,0:00:58,brush,bar-2
p7,0:00:59,brush,bar-2
p7,0:01:00,brush,bar-2
p7,0:01:04,brush,bar-2
p7,0:01:05,brush,bar-2
p7,0:01:06,brush,bar-2
p7,0:01:08,brush,bar-2
p7,0:01:09,brush,bar-2
p7,0:01:10,brush,bar-2
p7,0:01:12,brush,bar-2
p7,0:01:20,brush,bar-2
p7,0:01:21,brush,bar-2
p7,0:01:22,brush,bar-2
p7,0:01:23,brush,bar-2
p7,0:01:26,brush,bar-2
p7,0:01:27,brush,bar-4
p7,0:01:30,pan,scatterplot-0-1
p7,0:01:31,pan,scatterplot-0-1
p7,0:01:39,pan,scatterplot-0-1
p7,0:01:40,pan,scatterplot-0-1
p7,0:01:43,zoom,scatterplot-0-1
p7,0:01:44,zoom,scatterplot-0-1
p7,0:01:46,pan,scatterplot-0-1
p7,0:01:47,pan,scatterplot-0-1
p7,0:01:48,pan,scatterplot-0-1
p7,0:01:49,pan,scatterplot-0-1
p7,0:01:50,brush,bar-4
p7,0:01:54,range select,bar-4
p7,0:02:22,range select,bar-4
p7,0:02:23,range select,bar-4
p7,0:02:27,pan,scatterplot-0-1
p7,0:02:36,pan,scatterplot-0-1
p7,0:02:37,pan,scatterplot-0-1
p7,0:02:46,range select,bar-4
p7,0:02:49,range select,bar-4
p7,0:02:52,range select,bar-4
p7,0:02:54,range select,bar-4
p7,0:02:56,zoom,scatterplot-0-1
p7,0:02:58,zoom,scatterplot-0-1
p7,0:02:59,pan,scatterplot-0-1
p7,0:03:02,range select,bar-4
p7,0:03:04,range select,bar-4
p7,0:03:08,range select,bar-4
