user, time, action, visualization
p15,0:00:00,brush,bar-2
p15,0:01:07,brush,bar-2
p15,0:01:08,brush,bar-2
p15,0:01:12,zoom,scatterplot-0-1
p15,0:01:14,pan,scatterplot-0-1
p15,0:01:15,pan,scatterplot-0-1
p15,0:01:21,brush,bar-4
p15,0:01:27,zoom,scatterplot-0-1
p15,0:01:28,zoom,scatterplot-0-1
p15,0:02:15,zoom,scatterplot-0-1
p15,0:02:21,pan,scatterplot-0-1
p15,0:02:22,pan,scatterplot-0-1
p15,0:02:23,pan,scatterplot-0-1
p15,0:03:47,brush,bar-4
p15,0:03:51,zoom,scatterplot-0-1
p15,0:07:46,brush,bar-4
p15,0:07:47,brush,bar-2
p15,0:07:51,brush,bar-4
p15,0:07:52,brush,bar-4
p15,0:07:53,brush,bar-4
p15,0:07:54,brush,bar-4
p15,0:07:56,brush,bar-4
p15,0:07:57,brush,bar-4
p15,0:07:59,brush,bar-4
p15,0:08:00,brush,bar-4
p15,0:08:01,brush,bar-4
p15,0:08:04,brush,bar-4
p15,0:08:05,brush,bar-4
p15,0:08:13,range select,bar-4
p15,0:08:14,range select,bar-4
p15,0:08:15,range select,bar-4
p15,0:08:32,range select,bar-4
p15,0:08:34,range select,bar-4
p15,0:08:35,range select,bar-4
p15,0:08:37,range select,bar-4
p15,0:08:38,range select,bar-4
p15,0:08:39,range select,bar-4
p15,0:08:41,range select,bar-4
p15,0:08:46,range select,bar-4
p15,0:08:48,brush,bar-4
p15,0:08:49,range select,bar-4
p15,0:09:01,range select,bar-4
p15,0:09:02,range select,bar-4
p15,0:09:03,range select,bar-4
p15,0:09:04,range select,bar-4
p15,0:09:10,range select,bar-4
p15,0:09:11,range select,bar-4
p15,0:09:12,range select,bar-4
p15,0:09:13,range select,bar-4
p15,0:09:14,range select,bar-4
p15,0:09:16,range select,bar-4
p15,0:09:17,range select,bar-4
p15,0:09:18,range select,bar-4
p15,0:09:19,range select,bar-4
p15,0:09:21,range select,bar-4
p15,0:09:22,range select,bar-4
p15,0:09:23,range select,bar-4
p15,0:09:24,range select,bar-4
p15,0:09:25,range select,bar-4
p15,0:09:26,range select,bar-4
p15,0:09:28,brush,bar-4
p15,0:09:29,range select,bar-4
p15,0:09:31,range select,bar-4
p15,0:09:33,range select,bar-4
p15,0:09:34,range select,bar-4
p15,0:09:39,range select,bar-4
p15,0:09:43,range select,bar-4
p15,0:09:46,range select,bar-4
p15,0:09:48,range select,bar-4
p15,0:09:50,range select,bar-4
p15,0:09:52,range select,bar-4
p15,0:09:56,range select,bar-4
p15,0:09:57,range select,bar-4
p15,0:09:58,range select,bar-4
p15,0:09:59,range select,bar-4
p15,0:10:00,range select,bar-4
p15,0:10:14,range select,bar-4
p15,0:10:38,range select,bar-4
p15,0:10:39,range select,bar-4
p15,0:10:53,range select,bar-4
p15,0:10:58,range select,bar-4
p15,0:11:00,range select,bar-4
p15,0:11:08,range select,bar-4
p15,0:11:09,range select,bar-4
p15,0:11:10,range select,bar-4
p15,0:11:11,range select,bar-4
p15,0:11:12,range select,bar-4
p15,0:11:13,range select,bar-4
p15,0:11:14,range select,bar-4
p15,0:11:15,range select,bar-4
p15,0:11:16,range select,bar-4
p15,0:11:17,range select,bar-4
p15,0:11:29,range select,bar-4
p15,0:11:32,range select,bar-4
p15,0:11:33,range select,bar-4
p15,0:11:34,range select,bar-4
p15,0:11:36,range select,bar-4
p15,0:11:38,range select,bar-4
p15,0:11:39,range select,bar-4
p15,0:11:41,range select,bar-4
p15,0:11:43,range select,bar-4
p15,0:11:49,range select,bar-4
p15,0:11:50,range select,bar-4
p15,0:11:51,range select,bar-4
p15,0:11:54,range select,bar-4
p15,0:11:56,range select,bar-2
p15,0:11:57,range select,bar-2
p15,0:11:59,range select,bar-2
p15,0:12:00,range select,bar-2
p15,0:12:02,range select,bar-2
p15,0:12:03,range select,bar-2
p15,0:12:04,range select,bar-2
p15,0:12:05,range select,bar-2
p15,0:12:07,range select,bar-2
p15,0:12:08,range select,bar-2
p15,0:12:10,range select,bar-2
p15,0:12:14,range select,bar-2
p15,0:12:15,range select,bar-2
p15,0:12:16,range select,bar-2
p15,0:12:17,range select,bar-2
p15,0:12:18,range select,bar-2
p15,0:12:19,range select,bar-2
p15,0:12:20,range select,bar-2
p15,0:12:23,range select,bar-2
p15,0:12:24,range select,bar-2
p15,0:12:25,range select,bar-2
p15,0:12:26,range select,bar-2
p15,0:12:28,range select,bar-2
p15,0:12:29,range select,bar-2
p15,0:12:30,range select,bar-2
p15,0:12:31,range select,bar-2
p15,0:12:32,range select,bar-2
p15,0:12:34,range select,bar-2
p15,0:12:35,range select,bar-2
p15,0:12:36,range select,bar-2
p15,0:12:37,range select,bar-2
p15,0:12:38,range select,bar-2
p15,0:12:39,range select,bar-2
p15,0:12:40,range select,bar-2
p15,0:12:42,range select,bar-2
p15,0:12:46,range select,bar-2
p15,0:12:47,range select,bar-2
p15,0:12:48,range select,bar-2
p15,0:13:01,range select,bar-2
p15,0:13:04,range select,bar-2
p15,0:13:06,range select,bar-2
p15,0:13:07,range select,bar-2
p15,0:13:10,range select,bar-2
p15,0:13:11,range select,bar-2
p15,0:13:12,range select,bar-2
p15,0:13:13,range select,bar-2
p15,0:13:14,range select,bar-2
p15,0:13:15,range select,bar-2
p15,0:13:16,range select,bar-2
p15,0:13:18,range select,bar-2
p15,0:13:19,range select,bar-2
p15,0:13:30,range select,bar-2
p15,0:13:32,range select,bar-2
p15,0:13:33,range select,bar-2
p15,0:13:34,range select,bar-2
p15,0:13:38,range select,bar-2
p15,0:13:40,range select,bar-2
p15,0:13:42,range select,bar-2
p15,0:13:43,range select,bar-2
p15,0:13:45,range select,bar-2
p15,0:13:46,range select,bar-2
