user, time, action, visualization
p10,0:00:00,brush,bar-4
p10,0:00:01,brush,bar-4
p10,0:00:02,brush,bar-2
p10,0:00:03,brush,bar-4
p10,0:00:04,brush,bar-4
p10,0:00:18,brush,bar-4
p10,0:00:19,brush,bar-4
p10,0:00:22,brush,bar-4
p10,0:00:24,brush,bar-4
p10,0:00:25,brush,bar-4
p10,0:00:26,brush,bar-4
p10,0:00:28,brush,bar-4
p10,0:00:32,brush,bar-4
p10,0:00:33,brush,bar-4
p10,0:00:34,brush,bar-4
p10,0:00:35,brush,bar-4
p10,0:00:36,brush,bar-4
p10,0:00:37,brush,bar-4
p10,0:00:38,brush,bar-4
p10,0:00:40,brush,bar-4
p10,0:00:41,brush,bar-4
p10,0:00:42,brush,bar-4
p10,0:00:43,brush,bar-4
p10,0:00:44,brush,bar-4
p10,0:00:45,brush,bar-4
p10,0:00:46,brush,bar-4
p10,0:00:47,brush,bar-4
p10,0:00:48,brush,bar-4
p10,0:00:49,brush,bar-4
p10,0:00:50,brush,bar-4
p10,0:00:51,brush,bar-4
p10,0:00:52,brush,bar-4
p10,0:00:53,brush,bar-4
p10,0:00:54,brush,bar-4
p10,0:00:57,range select,bar-4
p10,0:01:20,brush,bar-4
p10,0:01:21,brush,bar-4
p10,0:01:41,brush,bar-4
p10,0:01:45,brush,bar-4
p10,0:01:49,brush,bar-4
p10,0:01:54,brush,bar-4
p10,0:01:57,brush,bar-4
p10,0:01:58,brush,bar-4
p10,0:01:59,brush,bar-4
p10,0:02:00,brush,bar-4
p10,0:02:01,brush,bar-4
p10,0:02:02,brush,bar-4
p10,0:02:03,brush,bar-4
p10,0:02:10,brush,bar-4
p10,0:02:11,brush,bar-4
p10,0:02:12,brush,bar-4
p10,0:02:18,brush,bar-4
p10,0:02:28,brush,bar-4
p10,0:02:33,brush,bar-4
p10,0:02:35,brush,bar-4
p10,0:02:36,brush,bar-4
p10,0:02:37,brush,bar-4
p10,0:02:38,brush,bar-4
p10,0:02:39,brush,bar-4
p10,0:02:48,brush,bar-4
p10,0:02:57,brush,bar-4
p10,0:02:58,brush,bar-4
p10,0:03:02,brush,bar-4
p10,0:03:04,brush,bar-4
p10,0:03:08,brush,bar-4
p10,0:03:09,brush,bar-4
p10,0:03:17,brush,bar-4
p10,0:03:21,brush,bar-4
p10,0:03:25,brush,bar-4
p10,0:03:29,brush,bar-4
p10,0:03:30,brush,bar-4
p10,0:03:39,brush,bar-4
p10,0:03:40,brush,bar-4
p10,0:03:41,brush,bar-4
p10,0:03:53,brush,bar-4
p10,0:03:55,brush,bar-4
p10,0:04:00,brush,bar-4
p10,0:04:01,brush,bar-4
p10,0:04:05,brush,bar-4
p10,0:04:07,brush,bar-4
p10,0:04:08,brush,bar-4
p10,0:04:09,brush,bar-4
p10,0:04:10,brush,bar-4
p10,0:04:11,brush,bar-4
p10,0:04:12,brush,bar-4
p10,0:04:13,brush,bar-4
p10,0:04:14,brush,bar-4
p10,0:04:15,brush,bar-4
p10,0:04:19,brush,bar-4
p10,0:04:20,brush,bar-4
p10,0:04:21,brush,bar-4
p10,0:04:22,brush,bar-4
p10,0:04:23,brush,bar-4
p10,0:04:24,brush,bar-4
p10,0:04:25,brush,bar-4
p10,0:04:26,brush,bar-4
p10,0:04:31,brush,bar-4
p10,0:04:32,brush,bar-4
p10,0:04:54,brush,bar-4
p10,0:04:57,brush,bar-4
p10,0:04:58,brush,bar-4
p10,0:04:59,brush,bar-4
p10,0:05:11,brush,bar-4
p10,0:05:12,brush,bar-4
p10,0:05:13,brush,bar-4
p10,0:05:19,brush,bar-4
p10,0:05:20,brush,bar-4
p10,0:05:21,brush,bar-4
p10,0:05:22,brush,bar-4
p10,0:05:23,brush,bar-4
p10,0:05:24,brush,bar-4
p10,0:05:25,brush,bar-4
p10,0:05:26,brush,bar-4
p10,0:05:27,brush,bar-4
p10,0:05:28,brush,bar-4
p10,0:05:29,brush,bar-4
p10,0:05:30,brush,bar-4
p10,0:05:31,brush,bar-4
p10,0:05:32,brush,bar-4
p10,0:05:33,brush,bar-4
p10,0:05:34,brush,bar-4
p10,0:05:35,brush,bar-4
p10,0:05:36,brush,bar-4
p10,0:05:37,brush,bar-4
p10,0:05:38,brush,bar-4
p10,0:05:45,range select,bar-4
p10,0:06:34,brush,bar-4
p10,0:06:35,brush,bar-4
p10,0:06:36,brush,bar-4
p10,0:06:37,brush,bar-4
p10,0:06:38,brush,bar-4
p10,0:06:39,brush,bar-4
p10,0:06:40,brush,bar-4
p10,0:06:41,brush,bar-4
p10,0:06:42,brush,bar-4
p10,0:06:43,brush,bar-4
p10,0:06:46,brush,bar-4
p10,0:06:47,brush,bar-4
p10,0:06:48,brush,bar-4
p10,0:06:49,brush,bar-4
p10,0:06:50,brush,bar-4
p10,0:06:53,range select,bar-4
p10,0:07:03,range select,scatterplot-0-1
p10,0:07:04,range select,scatterplot-0-1
p10,0:07:05,range select,scatterplot-0-1
p10,0:07:12,pan,scatterplot-0-1
p10,0:07:14,range select,scatterplot-0-1
p10,0:07:37,brush,bar-4
p10,0:07:38,brush,bar-4
p10,0:07:50,brush,bar-4
p10,0:07:51,brush,bar-4
p10,0:07:53,brush,bar-2
p10,0:07:57,range select,scatterplot-0-1
p10,0:07:58,range select,scatterplot-0-1
p10,0:08:12,range select,scatterplot-0-1
p10,0:08:13,range select,scatterplot-0-1
p10,0:08:31,range select,bar-4
p10,0:08:32,range select,bar-4
p10,0:08:35,range select,bar-4
p10,0:08:36,range select,bar-4
p10,0:08:50,range select,scatterplot-0-1
p10,0:08:51,range select,scatterplot-0-1
p10,0:08:52,range select,scatterplot-0-1
p10,0:08:53,range select,scatterplot-0-1
p10,0:09:03,range select,scatterplot-0-1
p10,0:09:04,range select,scatterplot-0-1
p10,0:09:05,range select,scatterplot-0-1
p10,0:09:26,range select,scatterplot-0-1
p10,0:09:27,range select,scatterplot-0-1
p10,0:09:40,range select,scatterplot-0-1
p10,0:09:41,range select,scatterplot-0-1
p10,0:09:48,range select,scatterplot-0-1
p10,0:09:49,range select,scatterplot-0-1
p10,0:10:06,brush,bar-4
p10,0:10:07,brush,bar-2
p10,0:10:09,brush,bar-2
p10,0:10:10,brush,bar-2
p10,0:10:11,brush,bar-2
p10,0:10:12,brush,bar-2
p10,0:10:13,brush,bar-2
p10,0:10:14,brush,bar-2
p10,0:10:15,brush,bar-2
p10,0:10:16,brush,bar-2
p10,0:10:17,brush,bar-2
p10,0:10:18,brush,bar-2
p10,0:10:19,brush,bar-2
p10,0:10:20,brush,bar-2
p10,0:10:21,brush,bar-2
p10,0:10:22,brush,bar-2
p10,0:10:23,brush,bar-2
p10,0:10:24,brush,bar-2
p10,0:10:25,brush,bar-2
p10,0:10:26,brush,bar-2
p10,0:10:27,brush,bar-2
p10,0:10:28,brush,bar-2
p10,0:10:29,brush,bar-2
p10,0:10:30,brush,bar-2
p10,0:10:31,brush,bar-2
p10,0:10:32,brush,bar-2
p10,0:10:33,brush,bar-2
p10,0:10:34,brush,bar-2
p10,0:10:35,brush,bar-2
p10,0:10:36,brush,bar-2
p10,0:10:37,brush,bar-2
p10,0:10:38,brush,bar-2
p10,0:10:39,brush,bar-2
p10,0:10:40,brush,bar-2
p10,0:10:41,brush,bar-2
p10,0:10:42,brush,bar-2
p10,0:10:43,brush,bar-2
p10,0:10:44,brush,bar-2
p10,0:10:45,brush,bar-2
p10,0:10:46,brush,bar-2
p10,0:10:47,brush,bar-2
p10,0:10:48,brush,bar-2
p10,0:10:49,brush,bar-2
p10,0:10:53,brush,bar-2
p10,0:10:54,brush,bar-2
p10,0:10:55,brush,bar-2
p10,0:10:56,brush,bar-2
p10,0:10:57,brush,bar-2
p10,0:10:58,brush,bar-2
p10,0:10:59,brush,bar-2
p10,0:11:00,brush,bar-2
p10,0:11:01,brush,bar-2
p10,0:11:02,brush,bar-2
p10,0:11:10,brush,bar-2
p10,0:11:11,brush,bar-2
p10,0:11:12,brush,bar-2
p10,0:11:13,brush,bar-2
p10,0:11:14,brush,bar-2
p10,0:11:15,brush,bar-2
p10,0:11:17,brush,bar-2
p10,0:11:18,brush,bar-2
p10,0:11:19,brush,bar-2
p10,0:11:20,brush,bar-2
p10,0:11:21,brush,bar-2
p10,0:11:22,brush,bar-2
p10,0:11:23,brush,bar-2
p10,0:11:24,brush,bar-2
p10,0:11:25,brush,bar-2
p10,0:11:27,brush,bar-2
p10,0:11:28,brush,bar-2
p10,0:11:29,brush,bar-2
p10,0:11:30,brush,bar-2
p10,0:11:31,brush,bar-2
p10,0:11:34,brush,bar-2
p10,0:11:35,brush,bar-2
p10,0:11:36,brush,bar-2
p10,0:11:37,brush,bar-2
p10,0:11:38,brush,bar-2
p10,0:11:40,brush,bar-2
p10,0:11:42,brush,bar-2
p10,0:11:43,brush,bar-2
p10,0:11:44,brush,bar-2
p10,0:11:45,brush,bar-2
p10,0:11:46,brush,bar-2
p10,0:11:47,brush,bar-2
p10,0:11:48,brush,bar-2
p10,0:11:50,brush,bar-2
p10,0:11:51,brush,bar-2
p10,0:11:52,brush,bar-2
p10,0:11:53,brush,bar-2
p10,0:11:54,brush,bar-2
p10,0:11:55,brush,bar-2
p10,0:11:56,brush,bar-2
p10,0:11:57,brush,bar-2
p10,0:11:58,brush,bar-2
p10,0:11:59,brush,bar-2
p10,0:12:00,brush,bar-2
p10,0:12:01,brush,bar-2
p10,0:12:06,brush,bar-2
p10,0:12:15,brush,bar-2
p10,0:12:16,brush,bar-2
p10,0:12:17,brush,bar-2
p10,0:12:18,brush,bar-2
p10,0:12:19,brush,bar-2
p10,0:12:20,brush,bar-2
p10,0:12:22,brush,bar-2
p10,0:12:51,brush,bar-2
p10,0:12:53,brush,bar-2
p10,0:12:54,brush,bar-2
